uid,park,name
2693,Cascade Gorge Park,Cerberus916
2701,HECETA VILLAGE,onlycare@gmail.com
2705,Roosevelt Acres,Roosevelt
2714,Buck Lake Mobile Home Park,Buck Lake
2757,"Holly Court MHC, LLC",HollyCourt
2758,Juniper Hilltop Mobile Home Park,Goldside
2777,Knoll Terrace,Kedgerton
2781,Mt Nebo Mobile Home and RV Park,carolsabins
2782,Mt. Nebo MHP ,ORMHP2051
2795,Eagle Crest Estates,Stefan
2798,Eagle Crest Estates,Cathy
2804,Eagle Crest Estates,cordula@molalla.net
2807,Seneca Capital Partners ,luberpa
2808,"Prineville RV Park, LLC",prinevillervpark
2812,Commonwealth Real Estates,KristineR
2816,Trails West RV Park,trailswestrv
2820,Lone Mountain RV Resort and Campground,glenn@powerandcontrol.com
2828,Cheshire Gardens,blbowden
2831,Mobile Towne West,faith
2833,Royal park,bnonweiler
2909,Portside Brookings,Ben Smith
2910,Crooked River Ranch,realtorredmond
2911,"Hazen, Hess and Ott, PLLC",Bjorn Hess
2914,Tamarack Ridge Estates,Tamarack Ridge Estates
2916,Hollywood Estates MHP,hollywoodestatesmhp@storzco.com
2917,"Jet Utilities, LLC",kindiking
2918,bend trailer park,snase0610
2920,Diamond Hill RV Park ,manager@diamondhillrvpark.com
2921,River Hills Estates,julianne57
2922,Suburban Mobile Estates,llogdahl@frontier.com
2926,Deschutes Mobil Home Park,Realty Executives Central Oregon
2927,Allen`s Mobile Villa,AllensMV
2928,Kelley`s RV Park,Chas 2018
2931,Willow Estates,willowestates
2932,Eagle Creek Mobile Estates,Eagle Creek
2933,Jackson County,heardjmh
2935,Kelley`s RV Park,sirgawain
2936,Hidden Meadows,HipTim
2937,Country Oak Estates,rpollman11
2939,Boulder Ridge Trailer Court,Boulder Ridge Trailer Court
2940,Shadow Ranch Mobile Park Inc,Shadow Ranch
2941,West-Side Pines Cooperative,West-Side Pines Cooperative
2942,Mt Nebo MHP and RV Park,anna walker
2947,Zeida`s MHC,LindaJLewerenz
2948,Littlebrook MHP,bupright
2950,Shady Brook MHP,shadybrook
2954,Roseland Mobile Home Park,Roseland Mobile Home Park
2955,Country Oak Estates ,JustinJ
2956,Knoll Terrace,aharris
2957,Harmony Acres,cassienclayton
2958,Gabriel Park,aferguson
2959,Twin Oaks Mobile Park,spacenavimcgemly
2963,Dunes Ranch,dunesranch
2967,NA,robprasch
2968,Falcon Wood Village,Falcon Wood Village
2969,Drift Creek Landing LLC,s_skelton
2971,Drift Creek Landing,oesman
2975,tiny tranquility,jopa77
2976,John Travess Subdivision,marython99@comcast.net
2980,Shorewood Estates,shorewoodestates
2981,Oakvilla MHP,oakvillamhp@gmail.com
2982,Ridgeview Village,WGP
2983,Royal Mobile Estates,rme4652
2985,Turtle Rock RV Resort,TurtleRockRVResort
2986,Center View Estates,alcailler
2987,Mt Nebo Mobile Home and RV Park,david walker
3003,Tonisgah,codyseibert
3005,Terra Buena Terrace Mobile Home Park,TBT
3010,Highland View Mobile Home Park,Emmertprops
3013,South Side MHP,Paula Fernandez 2018
3018,Hoodcourse Acres,hcacwres26
3019,South Mobile Village,SouthMobileVillage
3020,Bristol Park,tlester
3021,Columbus Greens,clark_elizabeth
3022,Sandy Frontier Trailer Court,sandyfrontier
3023,VILLAGE MOBILE INN,Village Mobile
3028,"Rainbow Villa MHP, LLC",sshep2158
3029,Brownsville Mobile Home Park,Brownsville MHP
3035,wandering spirit,James
3041,Emerald Coast Estates,roylindsey
3043,Shady Acres MHP,tlmurphy216
3044,Valley View,valleyview
3047,Smith Farm Estates,lanang2009
3049,Ashland Talent RV Park,Ashland Talent RV Park
3050,Rocky Pointe Marina,stan@rpmarina.com
3053,Midway Village LLC,Larel Ltd
3054,Hi Way Haven RV Park,Swpm3615
3064,Fern Hills,fernhills
3065,Tolman Gardens,Optimum Property Management Inc
3066,Mulkeys,coastclear
3070,Seavers MHP,seaversmhp
3071,Lakeside Mobile Home and RV Park,lakeside
3072,Three Lakes Estates MHC.LLC.,Three Lakes Estates MHC.LLC.
3087,Santiago Estates,spickett
3094,Crestview,cbossert
3095,Bristol Park,tlesterbp22
3096,Wager Creek Estates,RoseJennings
3098,Nestled in Hills,choyt
3100,Cherry Hill MHC,Cherry Hill MHC
3107,Frontier Urban Village,FrontierUrbanVillage
3109,Country Garden Estates,khmarbut97844@hotmail.com
3144,Cherry Hill Mobile Home Park,chmhp101
3148,NOAH,NOAHMHCOAcct
3149,"Cherry Lane, LLC",Cherry Lane
3150,Talent Mobile Estates,DebraH
3151,Deer Creek Hollow,Dkb
3153,Hall's Trailer Court,clhall
3156,"RedTail RV Park, LLC",Kim Colin
3158,McKee Bridge MHP,mckee
3174,Green Meadow Park,seokih
3177,Dawn-Rey Mobile Home Park,Dawn
3180,Tierra Linda LLC,Tierralinda
3184,Westview,westview
3188,City Mobile Home Park,Citymhc
3189,Creekside of Hillsboro,anneprice
3196,Tierra Linda LLC,DavidP
3197,Shalimar Estates,jcurtis60
3198,River Bend RV Park,RBRVP
3202,Country Garden Estates,khmarbut
3212,Foster Lake Mobile Home & RV Community,MichaelH
3214,The Secret Trailer Park,ltandy
3217,Villa West Mobile Home Estate Inc,VillaWest
3222,Hogg Heaven,mary_le52
3240,Bambi Mobile Home park ,Bambi
3242,Rainbow MHP,rainbow
3249,Fisherman's RV Park,Jackie Reagor
3252,None,Damon
3253,SCOFIELD MOBILHOME PARK,JSANTUARIO
3254,Sunrise Estates,sunrise
3260,Rufus RV Park,GunkelOrchards
3262,Meadowcrest Farm Estates,meadowcrestfarmestates
3263,San George Estates,Ezimmerman@murexproperties.com
3264,Wunder Mobile Park,evanrude
3268,Brookside,Brookside
3270,Viking Mobile Villa,Viking MHP
3275,San George Estates,sangeorge1
3276,Meadowcrest Farm Estates,sahmie yun
3284,Riverbank Mobile Home Park LLC,RiverbankMHP
3293,Monolith Properties,monolithproperties
3296,Country Edge Estates,JBoring
3309,Lost Treasures,Lost Treasures
3310,Nestled in Hills,adam.tyler
3311,Shamrock Village,yoonshin2000@gmail.com
3312,The Dalles Mobile Home Park,nhspmllc
3313,Tillamook Coast RV Park,TCRVPark
3316,Wandering Spirit LLC,wandervpark
3317,Shady Lane Mobile Home Park,Shady.Lane
3320,Oregon Park Managers Association,MWhitty
3321,Shady Trails RV Park,Margaret Murphy
3325,Woodburn Senior Estates MHC,woodburn
3326,Riverstone MHP,Riverstone
3327,Warren Allen LLP,kraus
3330,Colonial Oaks Mobile Home Park,Colonial Oaks MHP
3333,LUCAS MOBILE HOME PARK,Andrew Feasel
3343,Shorewood Estates,Shorewood
3344,Creekside of Hillsboro,Creekside
3345,Lana Lane Mobile Park,Lana Lane MHP
3347,Sea & Sand RV Park,seaandsandmngr@aol.com
3358,Ocean Breeze Mobile Home Court,Allyn Thompson
3360,Commonwealth Real Estate Services,susan
3362,rose city,gsf
3365,Junction Mobile Home Park,jrbunch
3372,ORCA Mobile Court,mishey
3373,Newton Creek Manor,Spavacich
3378,Sun Rocks Rv,sunrocksrv
3379,Nestucca River Village,Nestucca River Village
3380,Columbia Vista ,columbiavista
3382,M&J Mobile Home Parmrk ,Mitch Pallotta
3383,Parkway Estates,Parkway
3385,Cherry Grove Trailer Park,bhoffarth
3391,Sunny Hill Mobile Home Park,SunnyHill
3393,dryden llc,mhdryden
3394,horizon estates,jimgardner
3397,Knoll Terrace,TStrack
3399,Oregon Manufactured Housing Association,GenoaIngram
3400,Walnut Mobile Home Park,wanda winn
3403,RIVERVIEW TRAILER PARK,riverviewtp
3404,woodland park estates,kcarlson
3405,Mckenzie Meadows,jodiewize58
3410,Sunset Lake Mobile Home & RV Park ,rnwi
3411,Bay Air Mobile Home Park,Bay Air Mobile Home Park
3412,Sterling Properties Real Estate Services,SPRES1010
3413,Cherry Blossom ,Jodi Wheeler
3414,Queens Garden MHP,QueensGarden
3415,Cosmonaut,djd_test
3418,Cosmonaut,DJD
3420,Terra Buena Terrache ,ForemostDTBT
3427,Springfield Mobile Home Park,aej97401
3432,Rowena Crest Manor,Amyrahhill
3435,Oaks Mobile Home Park ,Oaksmobilehome
3439,Moore`s Mobile Manor,lenomoore57
3440, Country Estates,Countryestates
3441,Laurel Ridge Mobile Home Park,riverwood
3442,Lafayette RV Park,Lafayette RV Park
3445,Riverside Meadows,STEPHANIE.ANDERSON@FISKARS.COM
3451,Lafayette RV Park,Lee Meekcoms
3454,Mercer Lake Resort,Meghan Ryan
3455,Rogue Valley Overniters,rvoverda
3456,Prince Juniper,Lynn Prince
3457,River Meadows MHP,angiecoelho
3462,Madrona RV Park,Belladuna
3466,Lost Treasures,clasyvet
3467,Surfwood Villas,jmastephens@gmail.com
3468,Chemeketa MV,Chemeketamv
3469,Rainbow Rock Village MHP,rainbowrockvillage
3470,Venture Square Mobile Home Park,barba60
3471,Wells Fargo Multifamily Capital,WellsMFC2019
3473,Crum Trailer Park,Suscrum
3474,Sandy Mobile Villa,rich@westcoastmhp.com
3475,EZ Living ,Lakesidepm
3480,Harbor View Park LLC,harborview
3481,Wagon Wheel Mobile Home Park,wagonwheel
3482,Rosewood Park Place,ccolbeth
3487,Round Up Trailer Park,Wickiupjunction
3489,Suncrest Mobile Estates,Steelyslayer
3491,Sunset Village Mobile Home Park,Sunsetmhp
3492,Sunset Village Mobile Home Park,Sunsetvillage
3493,Woodburn Senior Estates MHC,Charles Florer Jr
3494,Snowberry Village,Edgreen
3497,Foley Court,jjacques
3499,Green Acres Mobile Home Park,MarieKalal
3500,Miller Estates,CPMCaillyV
3502,country living,jon schuder
3509,Shady trails rv park,sansabeh
3510,Sunscape rv,rkaylor
3512,Heron Pointe,marcandy
3516,Birch Tree MHV,Birch Tree MHV
3521,Neawanna,jchester
3523,Green Tree MHP,seibel
3525,Rendezvous RV Park,DDaleM
3526,Green acres  mhp 53752 appleton rd,Davidcreson
3527,Chetco River Resort,CRRLLC
3532,Brite Forest Estates,Ben@BVC
3534,Diamond H Trailer Park,lorriehart
3537,green spot mobile park,roxanne chambers
3538,Mountain Shadow Rv,MtShadowRV
3539,Shamrock Village,HuntressLona
3540,Rendezvous RV Resort,Quellellc
3541,Aaspen,kenelock
3544,Nickel Mountain Trailer Park,NMTPGlen
3545,Mountainview Mobile RV Park,lbradley
3547,"Mt View RV, Inc.",MtViewRV
3548,Sheridan Park,Sheridan Park
3553,Rogue Pacific Mobile Home Park/RV ,rogueriver
3555,Crest Street Manor,GNicho7734
3558,Village Estates,VillageEstates
3560,Twin Cedars Mobile Home Park,TwinCedars
3561,Altamon Mobile Home Park,Altamont
3562,CWRES,amee456
3565,Cherry Grove,mona2
3567,Nickel Mountain Trailer Park,Laura Christopherson
3568,Oaks Mobile Home Park,RBunnett
3571,Wooten Manor MHP,O WIN LLC
3572,Cameron Mobile Home Park ,C WIN LLC
3573,Harbor Mobile Home Park,JMcReary
3574,Harbor Hills,jvgolden
3583,Surprise Valley RV Park,Astine
3584,Altamont,AltamontMHP
3585,Twin Cedars,Twin Cedars
3586,Village Estates,Village Estates
3589,7858 SE King RD Park,kdkb_group
3590,Western Star MHC,Western Star MHC
3591,Twin Rivers Vacation Park,Ti4rOp
3595,Garden Circle,meowone
3596,Wild Rose Manufactured Home Park,Wild Rose
3599,river valley village,mhofer1957@gmail.com
3600,Sundial,Sundial
3601,Boulder Ridge Trailer Park,boulderridge
3602,Pinewood Mobile Home and RV Park,GrandRealtyInvestments
3603,Country Village Estates,Tritzrivi
3605,Del Mar Mobile Home Park ,rabeck@outlook.com
3608,Nestled in Hills,Betty Thompson
3609,Commonwealth Real Estate Services,saraealexander
3613,Nestled in Hills,jpalodichuk
3626,Village Estates,grinchyfella
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
